year,sec_key,string,trap,SpCode,mass,otter_density,mass.round
2020,GUKT.20,3,minnow,CRABRR,0,25.70356473,0
2020,HECA.20,3,minnow,CRABRR,0,3.568773234,0
2020,KAGK.20,3,minnow,CRABRR,0,10.4669524,0
2020,KLWA.20,3,minnow,CRABRR,0,0,0
2020,NATZ.20,3,minnow,CRABRR,0,0,0
2020,NAUK.20,3,minnow,CRABRR,0,3.752886836,0
2020,NFEI.20,3,minnow,CRABRR,0,0.529500756,0
2020,NOSK.20,3,minnow,CRABRR,0,2.876984127,0
2020,REFU.20,3,minnow,CRABRR,0,0,0
2020,SALA.20,3,minnow,CRABRR,0,2.813943721,0
2020,SFEI.20,3,minnow,CRABRR,0,1.322525597,0
2020,SHIN.20,3,minnow,CRABRR,0,2.847843775,0
2020,SODA.20,3,minnow,CRABRR,0,2.854150301,0
2020,BLAQ.20,1,pot,CRABRR,0,2.402196294,0
2020,CHUS.20,1,pot,CRABRR,0,10.96354903,0
2020,DUNB.20,1,pot,CRABRR,0,0.066889632,0
2020,FARA.20,1,pot,CRABRR,0,0.242277408,0
2020,GARC.20,1,pot,CRABRR,0,6.237721022,0
2020,GOAT.20,1,pot,CRABRR,0,0.056963828,0
2020,GUKT.20,1,pot,CRABRR,0,25.70356473,0
2020,HECA.20,1,pot,CRABRR,0,3.568773234,0
2020,KAGK.20,1,pot,CRABRR,0,10.4669524,0
2020,NATZ.20,1,pot,CRABRR,0,0,0
2020,NAUK.20,1,pot,CRABRR,0,3.752886836,0
2020,NFEI.20,1,pot,CRABRR,0,0.529500756,0
2020,NOSK.20,1,pot,CRABRR,0,2.876984127,0
2020,NPAS.20,1,pot,CRABRR,0,0,0
2020,REFU.20,1,pot,CRABRR,0,0,0
2020,SALA.20,1,pot,CRABRR,0,2.813943721,0
2020,SFEI.20,1,pot,CRABRR,0,1.322525597,0
2020,SHIN.20,1,pot,CRABRR,0,2.847843775,0
2020,SODA.20,1,pot,CRABRR,0,2.854150301,0
2020,SWAD.20,1,pot,CRABRR,0,0.339558574,0
2020,BLAQ.20,2,pot,CRABRR,0,2.402196294,0
2020,CHUS.20,2,pot,CRABRR,0,10.96354903,0
2020,DUNB.20,2,pot,CRABRR,0,0.066889632,0
2020,FARA.20,2,pot,CRABRR,0,0.242277408,0
2020,GARC.20,2,pot,CRABRR,0,6.237721022,0
2020,GOAT.20,2,pot,CRABRR,0,0.056963828,0
2020,GUKT.20,2,pot,CRABRR,0,25.70356473,0
2020,HECA.20,2,pot,CRABRR,0,3.568773234,0
2020,KAGK.20,2,pot,CRABRR,0,10.4669524,0
2020,KLWA.20,2,pot,CRABRR,0,0,0
2020,NATZ.20,2,pot,CRABRR,0,0,0
2020,NAUK.20,2,pot,CRABRR,0,3.752886836,0
2020,NFEI.20,2,pot,CRABRR,0,0.529500756,0
2020,NOSK.20,2,pot,CRABRR,0,2.876984127,0
2020,NPAS.20,2,pot,CRABRR,0,0,0
2020,REFU.20,2,pot,CRABRR,0,0,0
2020,SALA.20,2,pot,CRABRR,0,2.813943721,0
2020,SFEI.20,2,pot,CRABRR,0,1.322525597,0
2020,SHIN.20,2,pot,CRABRR,0,2.847843775,0
2020,SODA.20,2,pot,CRABRR,0,2.854150301,0
2020,SWAD.20,2,pot,CRABRR,0,0.339558574,0
2020,BLAQ.20,3,pot,CRABRR,0,2.402196294,0
2020,CHUS.20,3,pot,CRABRR,0,10.96354903,0
2020,DUNB.20,3,pot,CRABRR,0,0.066889632,0
2020,FARA.20,3,pot,CRABRR,0,0.242277408,0
2020,GARC.20,3,pot,CRABRR,0,6.237721022,0
2020,GOAT.20,3,pot,CRABRR,0,0.056963828,0
2020,GUKT.20,3,pot,CRABRR,0,25.70356473,0
2020,HECA.20,3,pot,CRABRR,0,3.568773234,0
2020,KAGK.20,3,pot,CRABRR,0,10.4669524,0
2020,KLWA.20,3,pot,CRABRR,0,0,0
2020,NATZ.20,3,pot,CRABRR,0,0,0
2020,NAUK.20,3,pot,CRABRR,0,3.752886836,0
2020,NFEI.20,3,pot,CRABRR,0,0.529500756,0
2020,NOSK.20,3,pot,CRABRR,0,2.876984127,0
2020,NPAS.20,3,pot,CRABRR,0,0,0
2020,REFU.20,3,pot,CRABRR,0,0,0
2020,SALA.20,3,pot,CRABRR,0,2.813943721,0
2020,SFEI.20,3,pot,CRABRR,0,1.322525597,0
2020,SHIN.20,3,pot,CRABRR,0,2.847843775,0
2020,SODA.20,3,pot,CRABRR,0,2.854150301,0
2020,SWAD.20,3,pot,CRABRR,0,0.339558574,0
2020,NATZ.20,3,minnow,CRABHEL,2.585289498,0,3
2018,NATZ.18,1,minnow,CRABDUN,11.43090901,0,11
2019,BAKE.19,1,minnow,CRABRR,11.75668654,3.989592368,12
2017,NFEI.17,1,minnow,CRABHEL,14.30950567,0.6875,14
2019,GUKT.19,2,minnow,CRABGRA,17.43636678,19.48162917,17
2017,GARC.17,1,minnow,CRABDUN,17.43636678,1.466666667,17
2017,NATZ.17,2,shrimp,CRABDUN,17.43636678,0,17
2020,NAUK.20,2,minnow,CRABGRA,18.40745757,3.752886836,18
2017,GARC.17,2,minnow,CRABDUN,18.40745757,1.466666667,18
2018,KAGK.18,3,minnow,CRABHEL,19.74284419,10.67457376,20
2020,GARC.20,2,minnow,CRABHEL,20.94222379,6.237721022,21
2017,KAGK.17,1,shrimp,CRABDUN,21.4935821,6.0625,21
2019,NAUK.19,4,minnow,CRABGRA,22.58034991,3.32047627,23
2020,KAGK.20,2,minnow,CRABGRA,22.58034991,10.4669524,23
2017,NOSK.17,2,shrimp,CRABHEL,24.76867168,6.142857143,25
2017,REFU.17,3,minnow,CRABHEL,24.76867168,0.083333334,25
2020,NAUK.20,3,minnow,CRABGRA,24.84174557,3.752886836,25
2017,NAUK.17,3,shrimp,CRABDUN,24.84174557,2.038461539,25
2020,SODA.20,2,minnow,CRABRR,26.20040339,2.854150301,26
2017,KAGK.17,1,minnow,CRABDUN,27.22111417,6.0625,27
2017,REFU.17,1,shrimp,CRABHEL,27.51139945,0.083333334,28
2017,SALA.17,1,shrimp,CRABHEL,27.51139945,7.05,28
2017,SALA.17,3,minnow,CRABHEL,27.51139945,7.05,28
2018,NOSK.18,3,minnow,CRABDUN,28.45534029,3.436157751,28
2017,SODA.17,2,shrimp,CRABDUN,29.38803043,1.115384615,29
2019,GOAT.19,1,minnow,CRABGRA,29.71941802,0.363416111,30
